progress,x,y
0.12375,-295.4963876385303,-139.84424601311946
0.12425,-298.36893665813807,-139.61274696188607
0.12475,-301.2372049094114,-139.36819348141069
0.12525,-304.1078437039785,-139.11535604507793
0.12575,-306.9778859823499,-138.874053738077
0.12625,-309.84061702458763,-138.6320781951717
0.12675,-312.6998833117476,-138.38342544374854
0.12725,-315.5645518184465,-138.14607336508715
0.12775,-318.43646042059703,-137.90607336508717
0.12825,-321.30536933900305,-137.64754395332247
0.12875,-324.17810811193164,-137.41570334611185
0.12925,-327.0431568818641,-137.16473360677298
0.12975,-329.9209183676901,-136.91839929592254
0.13025,-332.8022426461281,-136.6812515879429
0.13075,-335.678530139054,-136.42547137494708
0.13125,-338.5548988227282,-136.1785643540742
0.13175,-341.4220097451956,-135.9332180043289
0.13225,-344.284691090135,-135.69262404631556
0.13275,-347.1559558110772,-135.45144432281324
0.13325,-350.0268118367719,-135.20122228678477
0.13375,-352.88800657990214,-134.95834415058408
0.13425,-355.7439280255413,-134.70815597854107
0.13475,-358.60516413288747,-134.4704167538189
0.13525,-361.4741365899055,-134.22950248781925
0.13575,-364.3569965712052,-133.98567359581364
0.13625,-367.24375378682487,-133.74194330233803
0.13675,-370.126378707761,-133.50129055091486
0.13725,-372.99627118087926,-133.26414769377203
0.13775,-375.85907402992905,-133.02004242192976
0.13825,-378.7320210044178,-132.77538872174
0.13875,-381.5996465688176,-132.5474917799721
0.13925,-384.4599881247948,-132.30282549831216
0.13975,-387.3241070368758,-132.0675055742135
0.14025,-390.1864679531918,-131.8254775237226
0.14075,-393.0504903562517,-131.59849432601754
0.14125,-395.916405916024,-131.36602753284865
0.14175,-398.7884994736014,-131.13152518931406
0.14225,-401.66251591888926,-130.9046227225209
0.14275,-404.5280546812022,-130.6731541910524
0.14325,-407.38972085005923,-130.4416995912913
0.14375,-410.2598116917352,-130.21919124868842
0.14425,-413.1271717779441,-129.99129610496783
0.14475,-416.00474813298365,-129.7657120094533
0.14525,-418.8796748192006,-129.54442925474706
0.14575,-421.7475670191108,-129.31502933670944
0.14625,-424.61188153523983,-129.0980718587036
0.14675,-427.46932478494114,-128.8763299232197
0.14725,-430.329093918401,-128.65146654561062
0.14775,-433.19417743509746,-128.43197719450836
0.14825,-436.05945487601156,-128.20211786877468
0.14875,-438.9247312961267,-127.984157621137
0.14925,-441.78663282414027,-127.75861093183309
0.14975,-444.6555972874783,-127.53397727341849
0.15025,-447.52784261361825,-127.29172482877422
0.15075,-450.39428195072526,-127.05176711207233
0.15125,-453.24951336727503,-126.79685048436467
0.15175,-456.09750308209505,-126.52247861499981
0.15225,-458.9426150892635,-126.23105119564498
0.15275,-461.7853728977632,-125.90019036615189
0.15325,-464.6209466036364,-125.53942530276328
